game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,alpha_beta,pruned_nodes,heuristic,config,algorithm
0,Minimax_AB_simple_c1_d3,512,1010,463,84.56143307685852,False,481626,0.18263808439926246,2025-12-14T10:49:33.201194,3,True,4,simple,1,minimax
1,Minimax_AB_simple_c1_d3,1024,1646,742,125.30852890014648,False,720085,0.16887941900289283,2025-12-14T10:51:38.509723,3,True,3,simple,1,minimax
2,Minimax_AB_simple_c1_d3,1024,1994,905,125.81580471992493,False,716615,0.13902298864080104,2025-12-14T10:53:44.326603,3,True,5,simple,1,minimax
3,Minimax_AB_simple_c1_d3,256,594,273,48.57673454284668,False,282600,0.17793675656720395,2025-12-14T10:54:32.903837,3,True,2,simple,1,minimax
4,Minimax_AB_simple_c1_d3,1024,1606,731,111.80620908737183,False,641269,0.1529496704341612,2025-12-14T10:56:24.711022,3,True,2,simple,1,minimax
5,Minimax_AB_simple_c1_d3,1024,1518,683,103.65829539299011,False,596818,0.1517691001361495,2025-12-14T10:58:08.369317,3,True,4,simple,1,minimax
6,Minimax_AB_simple_c1_d3,1024,1850,839,126.61722588539124,False,721236,0.1509144527835414,2025-12-14T11:00:14.987084,3,True,3,simple,1,minimax
7,Minimax_AB_simple_c1_d3,512,1074,486,73.59478235244751,False,410728,0.15142959331779324,2025-12-14T11:01:28.581867,3,True,2,simple,1,minimax
8,Minimax_AB_simple_c1_d3,1024,1542,690,106.70651602745056,False,612155,0.15464712467746458,2025-12-14T11:03:15.289347,3,True,5,simple,1,minimax
9,Minimax_AB_simple_c1_d3,1024,1620,737,118.45198631286621,False,685880,0.16072182674744398,2025-12-14T11:05:13.741334,3,True,4,simple,1,minimax
10,Minimax_AB_simple_c1_d3,512,1018,460,72.26858472824097,False,420316,0.1571056189744369,2025-12-14T11:06:26.011299,3,True,9,simple,1,minimax
11,Minimax_AB_simple_c1_d3,256,626,283,47.139549255371094,False,272377,0.16657084542533956,2025-12-14T11:07:13.151350,3,True,9,simple,1,minimax
12,Minimax_AB_simple_c1_d3,1024,2084,944,137.97868633270264,False,794410,0.14616386264057482,2025-12-14T11:09:31.130745,3,True,2,simple,1,minimax
13,Minimax_AB_simple_c1_d3,512,1134,503,81.3238308429718,False,467990,0.16167759610928786,2025-12-14T11:10:52.454576,3,True,2,simple,1,minimax
14,Minimax_AB_simple_c1_d3,512,1098,495,79.37047791481018,False,456505,0.16034439982789936,2025-12-14T11:12:11.826724,3,True,4,simple,1,minimax
15,Minimax_AB_simple_c1_d3,1024,1616,743,119.88428854942322,False,687776,0.16135166695750097,2025-12-14T11:14:11.711013,3,True,7,simple,1,minimax
16,Minimax_AB_simple_c1_d3,1024,1802,829,132.27840495109558,False,761594,0.15956381779384268,2025-12-14T11:16:23.989884,3,True,4,simple,1,minimax
17,Minimax_AB_simple_c1_d3,512,1078,477,80.14082741737366,False,458400,0.16801012037185253,2025-12-14T11:17:44.131215,3,True,4,simple,1,minimax
18,Minimax_AB_simple_c1_d3,1024,2226,1009,138.9650411605835,False,801515,0.13772551155657434,2025-12-14T11:20:03.097190,3,True,3,simple,1,minimax
19,Minimax_AB_simple_c1_d3,512,1090,504,79.6748104095459,False,454172,0.15808494128878153,2025-12-14T11:21:22.772569,3,True,4,simple,1,minimax
