game_id,agent_name,max_tile,final_score,moves,time_seconds,won,nodes_explored,avg_time_per_move,timestamp,depth,heuristic,config,alpha_beta,algorithm
0,Expectimax_simple_c2_d3,1024,1908,861,729.5125570297241,False,5855541,0.8472851998022347,2025-12-14T18:15:57.073872,3,simple,2,False,expectimax
1,Expectimax_simple_c2_d3,1024,2072,963,773.2657372951508,False,6215151,0.8029758435048294,2025-12-14T18:28:50.339609,3,simple,2,False,expectimax
2,Expectimax_simple_c2_d3,1024,2380,1073,774.397313117981,False,6216429,0.7217123141826477,2025-12-14T18:41:44.737849,3,simple,2,False,expectimax
3,Expectimax_simple_c2_d3,2048,2100,957,764.8793640136719,True,6146818,0.799246984340305,2025-12-14T18:54:29.617562,3,simple,2,False,expectimax
4,Expectimax_simple_c2_d3,1024,1600,717,548.8886551856995,False,4409403,0.7655350839410034,2025-12-14T19:03:38.507199,3,simple,2,False,expectimax
5,Expectimax_simple_c2_d3,512,1050,473,411.3872900009155,False,3324015,0.8697405708264598,2025-12-14T19:10:29.894796,3,simple,2,False,expectimax
6,Expectimax_simple_c2_d3,1024,1982,884,694.8951785564423,False,5521743,0.7860805187290071,2025-12-14T19:22:04.790443,3,simple,2,False,expectimax
7,Expectimax_simple_c2_d3,1024,1664,747,628.6870398521423,False,4998817,0.8416158498689991,2025-12-14T19:32:33.478128,3,simple,2,False,expectimax
8,Expectimax_simple_c2_d3,1024,1882,855,726.7247338294983,False,5865797,0.8499704489233898,2025-12-14T19:44:40.203641,3,simple,2,False,expectimax
9,Expectimax_simple_c2_d3,2048,2098,950,764.4451348781586,True,6137955,0.8046790893454301,2025-12-14T19:57:24.649276,3,simple,2,False,expectimax
10,Expectimax_simple_c2_d3,1024,2148,985,661.2945017814636,False,5283896,0.6713649764278818,2025-12-14T20:08:25.944745,3,simple,2,False,expectimax
11,Expectimax_simple_c2_d3,1024,1696,757,554.6099607944489,False,4440661,0.7326419561353353,2025-12-14T20:17:40.554706,3,simple,2,False,expectimax
12,Expectimax_simple_c2_d3,512,1122,510,478.93179059028625,False,3868839,0.9390819423338946,2025-12-14T20:25:39.486997,3,simple,2,False,expectimax
13,Expectimax_simple_c2_d3,1024,1438,657,598.861734867096,False,4842278,0.9115094899042556,2025-12-14T20:35:38.349830,3,simple,2,False,expectimax
14,Expectimax_simple_c2_d3,2048,2266,1024,793.1828961372375,True,6359713,0.774592672009021,2025-12-14T20:48:51.533226,3,simple,2,False,expectimax
15,Expectimax_simple_c2_d3,512,1196,548,452.92231011390686,False,3653004,0.8265005659012898,2025-12-14T20:56:24.456046,3,simple,2,False,expectimax
16,Expectimax_simple_c2_d3,1024,2158,998,800.8569102287292,False,6420806,0.8024618338965223,2025-12-14T21:09:45.313453,3,simple,2,False,expectimax
17,Expectimax_simple_c2_d3,1024,1890,851,648.4430720806122,False,5200208,0.7619777580265713,2025-12-14T21:20:33.757025,3,simple,2,False,expectimax
18,Expectimax_simple_c2_d3,512,1094,501,444.9739637374878,False,3601308,0.8881715843063629,2025-12-14T21:27:58.731456,3,simple,2,False,expectimax
19,Expectimax_simple_c2_d3,1024,2170,999,707.9854836463928,False,5658748,0.7086941778242171,2025-12-14T21:39:46.717446,3,simple,2,False,expectimax
